T1 - Com prints e PID só na roda 1
T2 - Sem prints e PID só na Roda 1
T3 - Sem prints e PID nas rodas 1 e 2
T4 - Com prints e PID nas rodas 1 e 2


T1     T2      T3       T4             

935	0	0	0
166	0	0	0
227	0	0	0
330	0	0	0
451	0	0	0
521	0	0	0
608	0	0	0
673	0	0	20
721	37	18	52
758	81	51	77
811	116	89	124
837	149	124	162
866	186	176	216
890	232	211	262
908	278	275	308
935	358	336	351
950	375	353	388
961	412	388	427
981	449	427	470
991	484	465	508
1007	514	501	542
1013	540	527	572
1027	568	558	600
1037	599	585	632
1043	621	612	655
1052	648	642	680
1052	670	662	700
1184	690	683	700
1250	708	702	1184
1250	728	724	1217
1217	728	724	1206
1224	1428	1093	1185
1207	1287	1180	1211
1204	1276	1225	1196
1194	1250	1197	1204
1186	1234	1220	1194
1180	1237	1225	1207
1180	1217	1217	1198
1165	1221	1212	1203
1162	1224	1216	1197
1150	1213	1204	1205
1140	1208	1202	1200
1142	1200	1206	1203
1134	1203	1209	1198
1126	1201	1212	1201
1120	1189	1205	1193
1107	1184	1207	1189
1105	1192	1205	1192
1100	1186	1208	1189
1090	1182	1210	1186
1081	1178	1205	1186
1077	1168	1204	1183
1077	1164	1209	1181
789	1161	1207	1181
833	1160	1203	1052
862	1156	1202	1089
865	1160	1206	1120
876	1155	1202	1089
897	1153	1204	1096
894	1146	1203	1080
913	1146	1202	1086
909	1071	1202	1082
923	1048	1166	1087
930	1041	1176	1065
929	1054	1145	1059
935	1067	1171	1069
943	1043	1133	1064
947	1041	1147	1059
953	1035	1142	1055
956	1047	1145	1052
954	1045	1127	1052
956	1043	1122	1049
961	1047	1132	1040
963	1036	1123	1037
967	1038	1117	1036
968	1034	1093	1036
975	1032	1094	1029
978	1033	1089	1028
978	1029	1085	1022
1111	1023	1082	1022
1052	1027	1074	921
1077	1023	1080	921
1057	1027	1070	905
1045	1020	1065	909
1047	1023	1062	927
1058	1027	1061	926
1050	1026	1054	919
1045	1021	1049	919
1045	1026	1043	928
1041	1023	1042	927
1038	1024	1037	934
1035	1024	1032	944
1023	1093	1032	938
1025	1041	789	946
1023	1050	859	950
1022	1022	850	953
1014	1058	858	959
1013	1035	843	961
1015	1038	883	966
1008	1029	868	967
1008	1040	876	971
1007	1039	883	973
996	1034	902	976
998	1034	906	977
998	1022	912	980
1111	1030	913	980
986	1030	915	1052
991	1022	921	1052
974	1021	926	1034
979	1028	935	1057
969	1022	942	1045
974	1021	941	1038
983	1021	945	1040
971	1014	950	1035
979	1018	956	1031
981	1015	959	1027
976	1013	966	1030
978	1016	966	1027
983	1012	969	1025
984	1011	974	1023
977	1012	976	1021
981	1012	980	1023
982	1012	980	1022
986	1071	1093	1021
987	1000	1060	1013
990	978	1000	1012
990	976	1014	1014
993	968	1036	1013
993	969	1025	1007
995	987	1038	1007
995	977	1026	1002
1052	973	1040	1002
1052	973	1032	921
1077	981	1038	897
1057	977	1037	948
1071	981	1036	929
1059	974	1040	953
1058	981	1044	957
1066	984	1039	961
1059	978	1042	965
1053	983	1043	974
1048	984	1042	976
1059	981	1044	982
1054	987	1042	984
1050	986	1045	989
1047	984	1044	989
1047	988	1048	993
1044	983	1045	993
1035	986	1043	997
1033	987	1044	997
1031	985	1043	1000
1026	987	1045	1000
1025	988	1045	1000
1018	988	1071	1000
1017	1093	1060	1005
1012	1060	1000	1007
1012	1029	1022	1007
921	1029	1024	1052
897	1017	1000	1025
905	1025	1008	1034
897	1004	996	1025
918	1007	1006	1020
918	1016	993	1025
930	1002	991	1021
929	1010	982	1019
937	1007	979	1016
948	1006	982	1020
941	995	990	1018
950	1001	983	1016
954	994	980	1015
961	998	983	1014
964	991	986	1016
969	993	983	1015
971	990	980	1014
975	992	983	1014
983	987	985	1013
987	985	981	1015
987	987	983	1008
988	983	983	1008
991	987	983	1007
996	983	986	1007
998	979	981	1004
998	983	981	1004
1111	983	1029	1052
1118	892	1013	961
1077	967	969	991
1057	957	970	993
1082	976	963	969
1068	987	975	982
